a|a||||||
adés|adés||||||
ai|ai||||||
aidier|aidier||||||
aient|aient||||||
ainsi|ainsi||||||
ait|ait||||||
al|al||||||
alixandre|alixandre||||||
amase|amase||||||
amer|amer||||||
amor|amor||||||
amors|amors||||||
ancieins|ancieins||||||
antandre|antandre||||||
aporta|aporta||||||
aprandre|aprandre||||||
aprés|aprés||||||
aselgue|aselgue||||||
asez|asez||||||
assez|assez||||||
atant|atant||||||
auqués|auqués||||||
autre|autre||||||
avairs|avairs||||||
avare|avare||||||
avarice|avarice||||||
aventures|aventures||||||
avez|avez||||||
avoir|avoir||||||
avoirs|avoirs||||||
avoit|avoit||||||
aymes|aymes||||||
aïz|aïz||||||
babiloine|babiloine||||||
bien|bien||||||
bon|bon||||||
bons|bons||||||
ce|ce||||||
cel|cel||||||
celui|celui||||||
certaine|certaine||||||
ceuz|ceuz||||||
chaitive|chaitive||||||
chastellon|chastellon||||||
chivaleries|chivaleries||||||
ci|ci||||||
cil|cil||||||
coi|coi||||||
coment|coment||||||
con|con||||||
conquere|conquere||||||
conquester|conquester||||||
conquiert|conquiert||||||
conquist|conquist||||||
conte|conte||||||
conteor|conteor||||||
contes|contes||||||
corage|corage||||||
cortoisies|cortoisies||||||
cuer|cuer||||||
cuers|cuers||||||
culverz|culverz||||||
dame|dame||||||
de|de||||||
deceuz|deceuz||||||
decoit|decoit||||||
del|del||||||
des|des||||||
despandre|despandre||||||
despant|despant||||||
despent|despent||||||
deuz|deuz||||||
devomes|devomes||||||
di|di||||||
dirai|dirai||||||
dire|dire||||||
dist|dist||||||
diz|diz||||||
doi|doi||||||
doit|doit||||||
dolor|dolor||||||
doner|doner||||||
dont|dont||||||
duc|duc||||||
duraz|duraz||||||
d’|d’||||||
eleneos|eleneos||||||
emender|emender||||||
en|en||||||
enbler|enbler||||||
encores|encores||||||
enjan|enjan||||||
enprise|enprise||||||
entandre|entandre||||||
entencion|entencion||||||
entendez|entendez||||||
entent|entent||||||
envie|envie||||||
epuet|epuet||||||
ert|ert||||||
escouter|escouter||||||
escoutez|escoutez||||||
escrit|escrit||||||
escriz|escriz||||||
escustez|escustez||||||
escutez|escutez||||||
est|est||||||
estoire|estoire||||||
estoit|estoit||||||
et|et||||||
fait|fait||||||
faiz|faiz||||||
fause|fause||||||
faz|faz||||||
felipon|felipon||||||
felipople|felipople||||||
fetes|fetes||||||
fi|fi||||||
fil|fil||||||
fin|fin||||||
firont|firont||||||
fit|fit||||||
flor|flor||||||
floremont|floremont||||||
florimont|florimont||||||
foi|foi||||||
france|france||||||
francois|francois||||||
frarine|frarine||||||
fu|fu||||||
garder|garder||||||
gentiuz|gentiuz||||||
grepit|grepit||||||
greze|greze||||||
grezeois|grezeois||||||
guera|guera||||||
henor|henor||||||
hoiez|hoiez||||||
hon|hon||||||
honor|honor||||||
hoï|hoï||||||
hoïr|hoïr||||||
i|i||||||
iert|iert||||||
il|il||||||
ja|ja||||||
jant|jant||||||
je|je||||||
joie|joie||||||
joir|joir||||||
juliaine|juliaine||||||
j’|j’||||||
la|la||||||
lai|lai||||||
laise|laise||||||
laisier|laisier||||||
lait|lait||||||
largece|largece||||||
largesce|largesce||||||
latin|latin||||||
le|le||||||
lengue|lengue||||||
leonois|leonois||||||
les|les||||||
leus|leus||||||
li|li||||||
lo|lo||||||
loez|loez||||||
logemant|logemant||||||
lor|lor||||||
lors|lors||||||
l’|l’||||||
macedoine|macedoine||||||
mains|mains||||||
mainte|mainte||||||
maintenir|maintenir||||||
maintes|maintes||||||
mais|mais||||||
mal|mal||||||
mantenoient|mantenoient||||||
matequaz|matequaz||||||
me|me||||||
memoire|memoire||||||
mer|mer||||||
mere|mere||||||
mestier|mestier||||||
mie|mie||||||
mise|mise||||||
mit|mit||||||
mlt|mlt||||||
mon|mon||||||
mort|mort||||||
morte|morte||||||
mout|mout||||||
muert|muert||||||
n|n||||||
ne|ne||||||
no|no||||||
noblece|noblece||||||
noient|noient||||||
non|non||||||
noriz|noriz||||||
nos|nos||||||
n’|n’||||||
olinpias|olinpias||||||
on|on||||||
onor|onor||||||
ont|ont||||||
or|or||||||
ora|ora||||||
ot|ot||||||
ou|ou||||||
p|p||||||
pais|pais||||||
parz|parz||||||
pas|pas||||||
perde|perde||||||
perduz|perduz||||||
pert|pert||||||
pluis|pluis||||||
poi|poi||||||
por|por||||||
por_quoi|por_quoi||||||
porce_que|porce_que||||||
poront|poront||||||
porpensa|porpensa||||||
prandre|prandre||||||
princes|princes||||||
pris|pris||||||
proece|proece||||||
prohece|prohece||||||
provez|provez||||||
puet|puet||||||
quant|quant||||||
quar|quar||||||
que|que||||||
qui|qui||||||
qu’|qu’||||||
receuz|receuz||||||
reconter|reconter||||||
reguart|reguart||||||
remenbrance|remenbrance||||||
remenbrer|remenbrer||||||
remenbrez|remenbrez||||||
repairier|repairier||||||
retrait|retrait||||||
retraiz|retraiz||||||
riche|riche||||||
richece|richece||||||
robeors|robeors||||||
roi|roi||||||
roine|roine||||||
rois|rois||||||
romanz|romanz||||||
sa|sa||||||
sagemant|sagemant||||||
sai|sai||||||
saison|saison||||||
saue|saue||||||
savez|savez||||||
se|se||||||
segle|segle||||||
segnor|segnor||||||
senz|senz||||||
serviz|serviz||||||
set|set||||||
si|si||||||
sire|sire||||||
soi|soi||||||
soit|soit||||||
sol|sol||||||
son|son||||||
sont|sont||||||
sor|sor||||||
s’|s’||||||
tant|tant||||||
tens|tens||||||
tent|tent||||||
terra|terra||||||
terre|terre||||||
teuz|teuz||||||
tot|tot||||||
toz|toz||||||
toz_jorz|toz_jorz||||||
treitot|treitot||||||
trova|trova||||||
trover|trover||||||
trové|trové||||||
tuit|tuit||||||
une|une||||||
uns|uns||||||
vaine|vaine||||||
vains|vains||||||
varenes|varenes||||||
vasalage|vasalage||||||
vaut|vaut||||||
veil|veil||||||
verité|verité||||||
veu|veu||||||
veue|veue||||||
veut|veut||||||
vice|vice||||||
vie|vie||||||
vienent|vienent||||||
vilains|vilains||||||
vive|vive||||||
voit|voit||||||
vos|vos||||||
·l|·l||||||
à|à||||||